y_test,y_pred
[0.0179],4.7302284
[0.0003],-9.056807
[0.0002],0.4165473
[147.1441],117.50581
[147.144],154.49037
[93.1498],167.03322
[83.892],66.67213
[83.8912],62.066113
[77.16],55.689556
[74.1507],29.689924
[7.1941],32.32421
[7.193],160.16248
[5.1689],19.309408
[5.1689],45.450615
[2.3064],14.541515
[0.012],11.524855
[0.0005],10.215635
[0.0003],9.257959
[245.1124],117.50581
[245.1124],130.18837
[191.2233],161.21071
[181.261],71.200516
[181.2606],56.049725
[181.0463],114.88403
[173.2156],69.20983
[125.0873],69.57963
[30.3279],133.05684
[30.3273],66.30868
[30.3273],60.99529
[23.034],12.562397
[23.034],65.773384
[9.0415],47.673794
[9.0412],78.42021
[9.0351],27.387173
[9.0351],24.799166
[9.0266],26.519829
[1.8268],11.605738
[0.3336],6.4926896
[0.3334],27.747011
[0.2189],42.858025
[0.1211],26.841385
[0.1206],78.302216
[0.1067],42.893074
[0.0004],3.2670171
[0.0003],1.7730935
[91.1551],117.50581
[91.1551],164.5809
[39.1946],189.66747
[36.1163],72.384796
[36.1159],31.049229
[36.0485],-2.5060992
[3.9982],33.530388
[3.9976],15.103225
[3.9976],14.932601
[2.2366],11.421675
[0.2133],0.02325229
[0.0003],6.4202733
[0.0002],21.961552
[132.9737],117.50581
[132.9737],130.18837
[111.9502],114.42832
[107.0242],37.72502
[99.7815],54.72244
[91.9819],27.08218
[91.9817],71.28504
[91.9817],55.62148
[91.9816],72.37677
[25.0622],-3.5680358
[1.0286],39.45684
[0.0205],11.860601
[0.0005],15.705863
[0.0003],14.646027
[95.0084],117.50581
[95.0084],164.5809
[43.1992],189.66747
[40.0557],93.12191
[40.0552],81.41243
[36.193],60.464962
[36.1402],47.88066
[36.0244],37.255913
[36.0223],90.17731
[35.963],17.863304
[33.1333],14.114032
[33.1333],10.885101
[27.323],12.132729
[0.0867],-9.269295
[0.0003],11.863633
[0.0002],31.11159
[88.7428],117.50581
[88.7428],164.5809
[83.7489],123.497055
[36.9567],153.34727
[33.8038],63.148952
[33.8029],51.45736
[33.0122],24.37693
[30.0093],73.518745
[28.6346],24.585583
[27.9856],28.884722
[27.6941],13.012447
[1.761],12.107519
[1.7607],9.798114
[1.7607],11.189817
[1.7606],8.220327
[0.0115],3.8250065
[0.0005],12.017324
[0.0003],26.469433
[0.0002],12.2708025
[133.0719],117.50581
[133.0719],164.5809
[128.0625],133.5219
[81.2876],118.74808
[78.1087],101.605675
[78.1075],63.85047
[78.0347],119.32246
[66.1939],82.85961
[65.2891],59.140553
[25.2843],24.498676
[1.302],55.627777
[0.0858],2.459359
[0.0003],19.416542
[0.0002],7.5647893
[128.9921],117.50581
[128.9921],164.5809
[80.0653],210.3041
[76.7656],62.57053
[76.7644],37.659313
[76.7199],69.18053
[70.7928],104.62979
[65.9872],57.11222
[23.8005],27.762072
[0.077],24.93697
[0.0643],3.7123053
[0.0003],8.87007
[0.0002],32.403095
[175.9258],117.50581
[175.9258],164.5809
[174.9485],183.06204
[126.9291],128.50336
[112.8207],99.76163
[112.8203],67.52545
[112.0345],27.253471
[70.7182],114.64397
[69.9198],29.648071
[69.9187],61.47107
[24.9082],74.21083
[4.7809],27.484379
[0.9578],48.290257
[0.9578],20.572317
[0.0693],18.636044
[0.0088],11.451519
[0.0003],-12.431915
[0.0002],-8.4780855
[153.8322],117.50581
[153.8322],207.08748
[105.0699],141.42198
[100.8307],83.08962
[100.83],217.63632
[98.1253],76.58918
[69.8736],119.72988
[69.1453],52.869877
[68.1273],44.24532
[59.8238],38.41581
[59.8237],62.955826
[0.0173],43.796173
[135.6511],117.50581
[135.6511],361.4602
[86.9297],118.04563
[82.6579],57.851105
[82.6568],69.2529
[77.829],70.51784
[75.6196],52.47491
[72.732],30.365301
[30.6643],22.907164
[26.9223],21.394186
[14.8234],8.605116
[14.6533],10.743127
[14.6532],19.478725
[14.653],62.188423
[0.6402],24.437288
[135.6207],117.50581
[135.6206],273.36234
[86.9267],118.04563
[82.6469],57.851105
[82.6446],66.73687
[77.8345],66.5065
[75.626],52.47491
[72.7177],31.425272
[30.01],29.671133
[26.9161],18.161722
[14.8234],4.7439914
[14.654],10.743127
[14.6539],19.478725
[14.6537],62.188423
[0.5717],27.54224
[64.9113],117.50581
[64.9113],130.18837
[27.0381],49.49681
[23.1849],82.96212
[23.184],98.12007
[16.0599],111.343605
[13.9409],66.93275
[9.0714],29.034729
[9.0496],37.02354
[8.9231],9.212084
[6.1941],0.19648725
[6.1941],7.2892966
[0.2656],11.565434
[0.0748],12.422583
[0.0004],4.6363707
[0.0003],3.6192088
[169.0292],117.50581
[169.0292],164.5809
[121.1841],187.27162
[113.8829],173.41583
[113.8823],102.80176
[107.2156],166.4056
[99.8825],113.41406
[99.1928],84.739685
[63.2126],32.545227
[41.2074],38.420776
[0.0661],8.542991
[0.0003],44.301018
[0.0002],3.0789185
[196.2578],117.50581
[196.2578],281.91803
[175.2756],259.29572
[175.1723],147.78139
[166.9587],110.140396
[160.1954],195.04182
[160.1952],77.47794
[160.1952],50.75479
[160.195],67.959274
[91.2359],26.061075
[91.0319],54.525654
[90.1969],88.52289
[90.1967],67.02971
[81.2351],74.205795
[81.1297],67.95738
[77.9225],41.123024
[77.9212],38.48038
[72.1336],45.425163
[72.1336],71.11013
[71.0358],30.11543
[68.9317],28.497967
[68.9274],25.863676
[68.9273],-0.41291013
[68.9266],29.767235
[0.8554],-7.65754
[107.0083],117.50581
[107.0083],102.49987
[106.9852],66.7416
[50.0656],115.825775
[45.0192],67.44732
[45.0186],49.048813
[44.9874],70.353386
[38.068],60.505882
[36.0167],40.134296
[35.7644],49.201607
[1.7865],7.8825397
[1.7865],41.559605
[1.0261],17.90312
[0.0431],8.313497
[0.0004],32.658306
[64.7655],117.50581
[64.7655],160.34259
[17.8648],45.39201
[9.8959],142.46135
[9.8942],29.254332
[9.8361],15.905197
[7.8189],5.6316247
[7.8189],13.684693
[1.6958],8.069837
[0.561],1.5153041
[0.0015],-1.6096777
[0.0014],13.800116
[106.9065],117.50581
[106.9065],130.18837
[60.0326],57.07343
[52.0465],61.473557
[52.0459],57.391815
[51.9382],103.66114
[42.7341],75.23021
[41.9039],53.96323
[1.7856],3.2905657
[1.0274],28.687132
[0.0448],6.0212827
[0.0003],52.505547
[193.9116],117.50581
[193.9116],164.5809
[148.0052],151.14272
[130.9581],90.92319
[130.9414],46.254395
[130.9411],83.321686
[129.7148],76.69879
[119.6357],51.45997
[70.8175],78.62879
[70.8157],11.624007
[18.5996],43.62208
[13.9804],35.881126
[13.9801],29.943247
[13.9139],33.78611
[13.9139],60.2764
[13.76],31.549475
[13.7598],29.441172
[13.7501],25.939198
[13.7501],47.012318
[13.0032],29.885675
[13.0027],28.728416
[12.9339],34.553883
[12.9339],43.57
